✅ 18:18:49 | root | Initializing bidirectional synchronizer
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP SPRAY NUEVA  20ml (ID: 73322825) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73322817 (LAP SPRAY SUAVE  20ml) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP SPRAY SUAVE  20ml (ID: 73322817) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73322809 (LAP SPRAY TIEMPO  20ml) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP SPRAY TIEMPO  20ml (ID: 73322809) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73322800 (LAP SPRAY CALIENTE 20ml) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP SPRAY CALIENTE 20ml (ID: 73322800) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73322793 (LAP SPRAY ORIENTAL HUO BING 20ml) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP SPRAY ORIENTAL HUO BING 20ml (ID: 73322793) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73322766 (A580 Capa Extensora) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto A580 Capa Extensora (ID: 73322766) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 72771547 (ST1170VV  Protese  Maciço Pele Vibro ventosa) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto ST1170VV  Protese  Maciço Pele Vibro ventosa (ID: 72771547) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 72643080 (TAILANDESA SEXFIRE) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto TAILANDESA SEXFIRE (ID: 72643080) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 71865906 (PERSONALIZADA LUXO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
